LIFETIME,INITIAL_PURCHASE,RENEWAL,PS_APP,PS_WEB,CUR_USD,CUR_UNK,CUR_EUR,CUR_GBP,CUR_OTHER,SUB_LENGTH_DAYS,DEMO_USER,FREE_TRIAL_USER,FREE_TRIAL_LENGTH_DAYS,AUTO_RENEW,CTRY_US_CA,CTRY_EUR,CTRY_OTHER,USER_CONSUMER,LP_APP,LP_WEB,LP_UNKNOWN,EMAIL_SUB,PUSH_NOTIF,SEND_COUNT,OPEN_COUNT,CLICK_COUNT,UNQ_OPEN_COUNT,UNQ_CLICK_COUNT,LANG_ESP,LANG_ALL,LANG_FRA,LANG_ENG,LANG_ITA,LANG_DEU,LANG_ESC,LANG_EBR,LANG_JPN,LANG_CHI,LANG_RUS,LANG_TGL,LANG_ARA,LANG_POR,LANG_KOR,LANG_GRK,LANG_SVE,LANG_OTHER
0,1,0,0,1,0,0,1,0,0,731,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,0,0,369,0,1,3,0,1,0,0,1,1,0,0,1,1,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,0,274,0,0,0,1,1,0,0,1,0,1,0,1,1,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,1,0,0,90,1,0,0,0,0,1,0,1,1,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,0,0,309,1,0,0,1,1,0,0,1,1,0,0,1,1,14,13,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,0,0,78,0,1,3,1,0,0,1,1,1,0,0,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,1,0,0,0,274,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,0,0,1,0,0,0,182,0,0,0,0,1,0,0,1,0,1,0,1,1,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,823,1,0,0,0,1,0,0,1,1,0,0,1,1,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,1,0,0,1,0,0,0,365,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,0,0,92,1,0,0,0,1,0,0,1,1,0,0,1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
